content,score,label
developer buat jikallau memang aplikasi tidak benar bisa bantu besok d lapang buat sedang waktu awal sdah jadi kesalahn entah eror tidak bisa login masalah server terus bagaimana besok jikalau hari h masih seperti tidak sulit tugas jalan proses peehitungan,96.630%,negative
up apk tidak layak,99.736%,negative
produk uji coba kok udh luncur lucu jadi patok jadi alat wajib bagi kpps daripada mudah malah jadi repot contoh saat pilnas kemarin udah susah simulasi dsb malah pas hari h tidak bisa guna sangat buang waktu,98.936%,negative
semua apk perintah pasti banyak trouble nya,99.183%,negative
tidak dapat pakai,93.853%,negative
astaghfirullah udah beberapa kali nyoba masuk tetep aja nihil kenapa ginii,99.574%,negative
kalo blm siap pake uplikasi gk usah pake aja bukan mudah malah susah,98.289%,negative
ampas,98.503%,negative
tidak bisa dapat kunci digital biometrik android masih ada bug karena kunci tidak baca aplikasi buat,62.795%,negative
dah hari g bisa done selalu jadi salah,99.475%,negative
tidak efesien,99.647%,negative
gak mutu,99.592%,negative
error aplikasi,99.666%,negative
mau masuk aja susah bgt gimana nanti kl sdh hari milu nya bisa jam nungguin uploade data parah kl blm siap lebih baik tidak usah dahulu guna aplikasi,98.994%,negative
gagal dapat sertifikat digital,99.133%,negative
mau pake aplikasi org ga masalah klo buat login mudah aplikasi satu dri kemaren astaghfirullah mau login aja susah bgt tolong mikir juga org yg pelosok guna aplikasi sirekap mana tpsnya bnyk bgt tolong klo bikin server yg lbh kualitas dikit ken maki sih sebenernya sumpah tapi ya sudah,98.125%,negative
ga bisa login padahal nama user password sudah sesuai yg kirim wa kpu piye,93.845%,negative
aplikasi dada hajat tahun tolong lebih optimal sejak awal jgn dada kayak gin lot,46.349%,negative
terlalu banyak tete bengek nya,99.822%,negative
aplikasi kocak nyusahin aja bikin lama doang,99.809%,negative
iemot,90.945%,negative
error terus gabisa masuk tolong baik,98.175%,negative
loadingnya lama bngt padahal jaring baik baik aja aplikasi sulit ketika proses uplod tidak jelas lebih baik kalau belum siap pakai digital jangan paksa malah jadi sulit input dprd prov sudah makan waktu jam,99.711%,negative
aplikasi gagal autentikasi gagal dapat serifikat digital awal sudah masalah aplikasi silah baik oleh pihak kembang jika ingin guna milu,88.343%,negative
kocak dapat link kpu tetep aja ngebug versi sudah pakai,97.295%,negative
apk ranggenah blas,97.486%,negative
aplikasi bikin orang susah sendiri sampai sekarang nggak bisa masuk aplikasi kalau klik masuk lgsg keluar aplikasi kita guna sirekap pusing sendiri stres sendiri karena tuntut atas sirekap harus bisa akses sedang memang kesahalah aplikasi sendiri nggak bobot,98.927%,negative
kok aplikasi nya gak bsa d buka,77.126%,negative
dulu lancar telah simulasi terus ken kembali mula harus hapus data simpan dulu sekarang malah nggk bisa login bener bikin gemes aplikasi astaghfirullahalazim,94.564%,negative
nais move,95.645%,negative
loading terus gak mau masuk gimana om,98.191%,negative
bukan cepat malah lambat,98.847%,negative
aplikasi lawak,57.566%,negative
jauh bngt kata siap banyak minus,99.756%,negative
aplikasi bikin pusing mau log in susah,99.457%,negative
aplikasi sampah belum milu aja error mulu apalagi nanti pas hari h emang indo belum siap digital,99.756%,negative
milu tahun sekali maju negara jika apknya h- ngerepotin nya pakek banget gimana nnti pas acara tolong bener kerja pihak operator bingung,99.564%,negative
update versi mantab ringan tapi proses konversi pdfnya luamaaa sudah hari loading proses terusssss belum hasil buat dokumen file pdf,93.336%,negative
bapuk,98.379%,negative
susah,99.667%,negative
susah buka apk selalu gagal,99.516%,negative
update trs sampe x malah gagal dapat sertifikat huft,99.077%,negative
ribet banget pake aplikasi busett padahal cuma mau liat hasil real count aja soal situs kpu lagi eror,99.655%,negative
aplikasi jelek pernah instal,99.815%,negative
lambat gk bisa login,99.573%,negative
aplikasi bodoh,99.806%,negative
sulit minta ampun login,99.758%,negative
ampun dah log in aja gagal terus,99.740%,negative
down skli tiap proses bnyk kendala bikin stres,99.435%,negative
kamera gak jelas gak ada flash kamera aplikasi lebih jelek kamera handphone bawa,99.744%,negative
jangan terlalu paksa kalo memang belum siap kalah jauh sama aplikasi pinjol,97.530%,negative
maaf ni kpu bikin aplikasi sekira gampang jangan sulit kalo mau pake google autentikasi harus nya sudah pasword masuk autentikasi biar gak ribet autentikasi udah semua malah gak bisa terus timeout terus sebenernya jaring kurang bagus,98.053%,negative
gak layak,99.771%,negative
woi kpu ri tolong servernya upgrade lagi jangan pakai server murah dana beri perintah t masa server murah pakai,98.859%,negative
kalau aplikasi belum siap sepenuh mending tidak usah keluar bahkan guna hanya jadi tambah kerja menganggu kerja,99.574%,negative
loginnya lama samoai sekarang masih errir belum bisa login menu utama kalau belum siap ya gak usah siap kpps yg repot kena batu tolong perhati lagi,98.327%,negative
terlalu ruwet,99.757%,negative
aplikasi ngaco,87.563%,negative
apk apan s ga bisa masuk d apdet ge tetap we t tiasa bati penuh memori,98.617%,negative
aplikasi sulit poll,99.675%,negative
aplikasi ga jalan bos loading terus,99.574%,negative
perintah lucu yah aplikasi aneh kek gin mau dipake buat milu kalo belum siap gak usah sok sok an digitalisasi anehhhh dasar,99.492%,negative
moga mendung,64.305%,negative
kesuwen,96.661%,negative
kalo bisa sulit mengapa harus mudah indonesia,97.425%,negative
kenapa tulis muncul versi tidak sedia,93.679%,negative
kelas aplikasi skala nasional tapi tingkat akurasi jelek bagaimana pirsa,99.737%,negative
susah masuk min mohon perbaikin dulu,96.290%,negative
kenapa gak bisa masuk padahal hp ram gb tapi gak bisa masuk merut jangan dipaksain guna aplikasi kalau aplnya belum siap gimana nanti pas udah waktu nya tiba pilih low ada masalah lapor makin buang waktu bukan nya cepet tapi lambat milu low kayak gin terus aplnya mohon baik,87.738%,negative
sering susah masuk atau lodingnya,98.110%,negative
kurang percaya,99.742%,negative
tidak bisa login pd hal udah d update sudah d cantumin username n password nya jg tp mlah ga bisa terus gagal n gagal login ,90.446%,negative
lelett lambat kerja,99.780%,negative
hampir sakit gara aplikasi,99.459%,negative
mohon maaf ka knp y eror mulu g bisa masuk,94.239%,negative
seperti developer blm expert,99.099%,negative
servernya ga kuat min aduh pusing baru login server eror terus,99.773%,negative
aplikasi mudah malah bikin pusing nyusahin banyak korup anggar aplikasi gimana,99.769%,negative
kata alat bantu tapi repot banyak error pula,99.730%,negative
aplikasi belum siap rilis kok udh publikasi,85.800%,negative
kpu siap hampir tahun cuman jadi kaya gin bener aja bukan bikin cepet malah harus kerja x,98.872%,negative
lebih baik jelas harus pakai spek hp yg seperti merk dll kurang banyak tuh anggar kembang aplikasi bener aja milu tinggal hari aplikasi macam ujicoba aja wkwkwkwk ngeri mana ga ada honor tambah pulak buat kpps beban aplikasi sirekap,98.106%,negative
wkwkwkw anggara pasti kurang pusing dah tu pasti ngerab aplikasi kaya gin,98.960%,negative
agak lot,98.647%,negative
belum lancar guna masih sulit hanya sekadar inisial dapat kunci digital,96.383%,negative
aplikasi abnormal bgttt,99.759%,negative
aplikasi gak guna,99.637%,negative
eng jls aplikasi,80.816%,negative
kl tdk demi tangung jwb malas instal app ni muhmed login login melulu proses lama gk hasil jg,99.416%,negative
aplikasi blm siap paksa pakai,77.729%,negative
aplikasi kelas nasional benar benar bikin susah guna si rekap waktu upload susah x bom bisa benar bikin emosi kotak sudah kirim semua sudah foto masih muser terus pas ketika bisa ada pemberitahuan foto kurang jelas y ambyar masak harus buka kotak lagi kabupaten ,99.051%,negative
habis upgrade gak bisa masuk lagi,84.714%,negative
gagal terus login kemarin malah bikin pusing,99.588%,negative
aplikasi yg bikin emosi jiwa kenapa tiba error pdhl sdh hasil login skrg buka malah g bisa sm skali tdk beri solusi kmudahan dlm hitung hsil milu klo sprti,99.122%,negative
sirekap lupa pasword nya jadi gg bisa buka mohon arah nya,51.948%,negative
susah login udah mepet milu malah gabisa pake,99.097%,negative
log in sampe kuota habis juga gak bakal bisa masuk error terus,95.614%,negative
kok gak bisa login ya bbrapa hr lalu uda bisa login home uda verifikasi trs td pagi dpt lg wa suruh login verifikasi dgn password yg beda eh pas coba login dgn user password lama eh malah gak bisa login sama skali,78.106%,negative
maaf bagaimana ya susah banget bagi sign in padhal sudah coba beberapa kali masukin email sama password tapi tetap salah mohon cepat baik lagi,97.805%,negative
susah login kembali smua atur hp sdh otak atik ttp gk bisa habis kouta cmn buat aplikasi sja,98.074%,negative
bagaimana tidak bisa masuk time out terus bagaimana sampai hari milu tidak bisa login tolong servernya benah,91.805%,negative
halah bikin ribet sama aplikasi mana gak bisa guna lagi server lag molooooo bimtek hambat sama apl,99.785%,negative
tidak dapat fungsi dgn baik,99.610%,negative
gak bisa,99.506%,negative
selalu gagal inisial,99.385%,negative
ora mutu,95.845%,negative
ngaa bisa update,55.296%,negative
proses inisial sudah jam tidak bisa tugas kpu hanya bilang coba terus sampai hasil baru simulasi sudah down gin servernya gimana pas hari h milu tolong ahli it indonesia buanyak banget jangan orang ngurusin,94.122%,negative
aplikasi buosokkk,60.406%,negative
aduh applikasi negara penting tapi login aja susah apalagi nanti pas laksana otw gk guna,98.989%,negative
buat server bener boss kau bikin aplikasi bukan buat ruang lingkup desa doang tuntut pakai aplikasi tetapi server belum siap pake prosedur klo bikin aplikasi,98.302%,negative
susah kpps terimakasih sudah buat susah,99.711%,negative
udah hampir x masuk tetap ga bisa masuk klo gin mah bukan mudah malah balik,97.556%,negative
jadi salah saat laku inisial gagalendapatkan kunci digital time out solusi gimana pak admin ,85.195%,negative
telah update malah gabisa login kita nya jadi ragu emg sistem yg eror kita salah username pswd padahal belum update udah hasil masuk mohon tanggap nya respon kpd pihak depelover,72.000%,negative
seperti akan jadi kendala bagi tugas kpps waktu laksana bukan karna susah tp karna aplikasi kadang log out sendiri,91.678%,negative
tidak bisa masuk masuk terlalu lama ganggu,99.495%,negative
aplikasi buruk server ga jelas bukan mudah kerja ada makin sulit lama kerja,99.822%,negative
mau login aja susah lho mas mbak buat aplikasi harus ekstra sabar juga ada yg lama baca detail,64.772%,negative
aplikasi sirekap belum cukup bagus tampung banyak guna mohon baik karena sudah masuk program milu serentak loh sayang banyak erorrnya utama bagi login sirekap otentikasi saat laku inilisasi aplikasi,97.226%,negative
kalo belum siap jangan dipaksain repot,52.793%,negative
buat aplikasi maluin belum siap nasional,97.036%,negative
kurang fitur ai kurang cerdas app nya,99.679%,negative
susah amat mau verifikasi time out mulu internet dah kenceng mbps masa gk bisa baki lagi servernya,99.598%,negative
kenapa si ngga pake wa aja gampang tuh ngga perlu bolak balik suruh nyoba terus mana susah lagi takut tu ampe hari h ntar ngga bisa dipake ntar kena anggota kppsny kasi,95.874%,negative
salut tim it kpu sudah buat aplikasi macam mau login susah,64.667%,negative
sedikit saran selenggara negara kenapa kok guna aplikasi abal abal padahal negara sudah keluar biaya banyak mohon aplikasi baik atau tidak usah pakai,98.859%,negative
kwalitas foto kamera apk buram tidak fokus,99.551%,negative
aplikasi g jelas pas mau bimtek kpps malah g bisa guna apliaksi tidak guna jadi baut buat aplikasi kalo kpps tidak tau guna sama aja kayak nafsu kuat tenaga kurang,99.586%,negative
aplikasi bikin pusing kpps bukan karena isi materi tapi banyak nya eror,99.653%,negative
dana gede tapi buat apk nya jelek sekali pas daftar aja susah tidak praktis ribet sampai sekarang kmi belum bisa akses sudah - acara pesta rakyat nya daftar login akun seperti bayang nanti kalo sekian yg akses kalo rekap data nanti apk jebol server nya terimakasih,99.620%,negative
apk apa batu instal ga bisa pake payah payah,99.676%,negative
aplikasi nya error mulu pas verifikasi dapet update malah gabisa login,99.259%,negative
woi inisial lama bgt gimana ulang x gabisa kalo belum siap jgn bikin aplikasi aplikasi buat sirekap kalo bisa gausah ada,99.362%,negative
kenapa ya kemarin habis nerima wa sampe sekarang inisial gabisa banyak bener lagi alesannya jaring aman simpan aman tolong segera atas baik tingkat lagi ya soal mau dipake,96.189%,negative
terlalu lama periksa hasil foto,99.044%,negative
seperti aplikasi belum siap,97.607%,negative
marake emosi,99.775%,negative
masih susah guna,98.473%,negative
aplikasi terlalu paksa padahal masih prematur jika saat inisial sudah error apalagi saat guna input hasil milu,99.172%,negative
aplikasi mau guna sebentar lagi tapi error error,97.911%,negative
gambar sulit deteksi terlalu ruwet,99.774%,negative
hanya ingat waktu pilih sudah dekat jangan sampai hanya aplikasi gagal bisa cedera kita semua anda anda yg it jgn samping yg ada lapang cepat gegas baik sampai aplikasi selayakna guna tepat jangan bicara isi menu sirekap juga praktekna masih ada banyak yg belum bisa login krn masalah inisial aplikasi,95.082%,negative
mohon baik lagi masih login aja udah begini pusing nya kita gimana tahap kerja nanti bisa jalan baik atau tidak,99.418%,negative
mohon aplikasi baik susah login padahal ram giga,67.350%,negative
tidak bisa akses,75.106%,negative
kalau nggak mampu buat aplikasi jangan maksa,92.227%,negative
milu beberapa hari lagi aplikasi nya makin jadi hadeeeh,88.777%,negative
sangat bobrok bikin anak smk ya,97.744%,negative
lupa password nya solusi gimana ya min,70.638%,negative
banyak eror gak siap aplikasi jalan,99.735%,negative
