content,label,score
apk yg versi kenapa malah susah sering macet pas mau masuk profil jadi salah saat inisial aplikasi gagal dapat kunci digital java lang exception anda saat sedang laku inisial harap tunggu jenak coba lagi gitu gitu mulu padahal versi mah lancar lancar kenapa yng baru malah susah kendala cuman gk bisa masuk profil yg guna apk sirekap baru sama punya kendala seperti,negative,98.472%
aplikasi kurang stabil scanner camera juga kurang bagus suka ngelag ngelag saran agar ada pilih upload utama daftar hadir tanda terima jadi khusus karena scanner tidak stabil seperti cukup sulit tangkap gambar bagus,negative,95.134%
versi lancar dapet wa pps suruh uninstall yg install yg mampet halaman masuk error failed to connect to api after ms seperti butuh baik bagi infrastruktur dukung mudah bug nya segera atas,negative,84.106%
ikut ujibeban nasional jadi masalah ketika c hasil upload berkas lain sudah persen sudah buat salin pps pkk kemudian muncul notif gagal unggah padahal tadi hasil unggah sudah jadi ketika aplikasi muncul opsi unggah ulang kemudian klik masa tiba muncul notif berkas sudah pernah unggah belum server padahal aplikasi tunjuk progres masih akhir smg dvlopr mliht karena bsa sangat mengnggu klw hri h,negative,97.349%
kalo gabisa buat aplikasi optimal mending buat web aja anggar buat aplikasi alih anggar server pertimbangankan juga ubah scan angka tulis manual jadi scan bullet ubah lembar c-pleno jadi bullet seperti kertas uji nasional bagai guna tidak perlu ui bagus perlu hanya ux nyaman,negative,56.343%
memang segi proses lebih cepat belum tapi waktu ngepas foto kertas masih lot banget sinkronisasi nya jadi sulit ngepas batas garis sama kode harus ngulang beberapa kali,negative,97.871%
tidak bisa pilih bimtek hanya bisa pilih rekapitulasi jika pilih bimtek tidak bisa login aplikasi hal sebut sangat menghabat kerja serta paham pemgalaman guna fitur yg ada aplikasi,positive,93.378%
tolong tambah fitur unduh data agar kalau tidak sengaja hapus data bisa unduh lagi jadi berkas sudah kunci lalu unggah kalau ga sengaja hapus data bisa pulih kembali akan sangat bantu operator ada masalah,negative,55.064%
aplikasi sudah lebih baik daripada sirekap pilpres saran kamera lebih baik guna setting mode kamera biasa daripada kamera mode malam karena banyak device lebih bagus hasil potret guna kamera biasa walaupun saat malam hari,positive,93.822%
aplikasi gin amat yaa masa udah login tp macet ampe situ doang profil ga bisa klik pilih tahap lanjut trus bagai mana pps juga slow respon padahal udah coba sore malem coba lagi jelang pagi ampe uninstal diinstal lagi hp udah direstart masih aja ga bisa trus bagaimana,negative,98.025%
ganti bintang bintang karena banyak kembang aplikasi pas milu kemarin jelek bgt banyak kendala tapi pilkada kali udah bagus aplikasi lancar paling beberapa kali gagal upload berkas tapi masih bisa atas moga milu lanjut makin bagus gak usah ganti buat aplikasi baru buang buang anggar pertahanin kembangin biar makin mudah aja,negative,88.381%
apk burik yg pernah download mau masuk aja jadi salah mau bimtek bagaimana kalo ga bisa masa harus punya hp kalo salah satu ga bisa buka udah instal uninstal terus buat masuk apk coba solusi gmn sirekap gunta ganti aja sekali baru biar ga install ulang terus,negative,86.894%
apk tidak bisa pakai versi stuck tempat login doang gimana buat padahal penting pilih tpi apk tidak baik ada banyak salah,negative,99.441%
min tolong punya tinggal upload berkas daftar hadir tapi tinggal sampai sekarang udah jam masih belum bisa juga upload tampil tetap sama akhir upload udah coba pakai wifi data tapi juga belum bisa simpan juga masih gb tolong min baik,neutral,60.732%
